Name,Category,URL,Authentication,Maintainer
Apify,Web Data Extraction Platform,https://mcp.apify.com,API Key,https://apify.com
Dappier,RAG-as-a-Service,https://mcp.dappier.com/mcp,API Key,https://dappier.com/
Mercado Libre,E-Commerce,https://mcp.mercadolibre.com/mcp,API Key,https://mcp.mercadolibre.com/
Mercado Pago,Payments,https://mcp.mercadopago.com/mcp,API Key,https://mcp.mercadopago.com/
Short.io,Link shortener,https://ai-assistant.short.io/mcp,API Key,https://short.io
Telnyx,Communication,https://api.telnyx.com/v2/mcp,API Key,https://telnyx.com
Dodo Payments,Payments,https://mcp.dodopayments.com/sse,API Key,https://dodopayments.com
Polar Signals,Software Development,https://api.polarsignals.com/api/mcp/,API Key,https://www.polarsignals.com/blog/posts/2025/07/17/the-mcp-for-performance-engineering
Manifold,Forecasting,https://api.manifold.markets/v0/mcp,Open,https://manifold.markets
Javadocs,Software Development,https://www.javadocs.dev/mcp,Open,https://javadocs.dev
CustomGPT.ai,RAG-as-a-service,https://mcp.customgpt.ai,API,https://customgpt.ai
